ProspectID;Channel;Age_group;APR_offered;Grocery_spend;Travel_spend;Apparels_spend;DE_spend;response_ind;Income_Group;Autoloan_ind;Avg_monthly_spend;Avg_Monthly_balance;Avg_monthyl_payrate;student_loan_ind;Times_Mailed;No_of_tradelines
ATH00001;DM;55+; 12.99 ;166.27;1445.539104;911.23;815.66;1;6000-9000;1;2674.38;6783.29;0.54;1;10;9
ATH00002;DM;18-25; 10.99 ;1200.17;2360.03395;1099.34;188.17;1;12000+;1;4944.13;12368.46;0.47;1;9;9
ATH00003;DM;25-35; 12.99 ;707.77;47.40026898;1403.20;538.15;1;6000-9000;1;2336.26;4756.33;0.12;0;7;6
ATH00004;DM;18-25; 14.99 ;1871.82;2860.98161;773.45;391.15;1;3000-6000;1;5765.93;11958.18;0.71;1;3;2
ATH00005;DM;18-25; 12.99 ;1964.83;1471.595513;792.56;176.49;1;0-3000;0;4448.21;7721.57;0.58;0;9;9
ATH00006;DM;55+; 10.99 ;1690.89;378.3154071;1372.82;894.59;1;0-3000;0;3672.50;10353.46;0.57;0;10;10
ATH00007;DM;25-35; 14.99 ;1877.10;783.0812201;289.96;561.04;1;12000+;1;3068.48;7680.24;0.27;0;9;7
ATH00008;DM;55+; 14.99 ;417.85;570.9048097;420.05;945.10;1;9000-12000;0;1606.30;2336.52;0.15;1;7;4
ATH00009;DM;35-55; 10.99 ;1947.05;666.5264058;604.60;572.02;1;12000+;1;3336.79;7629.43;0.24;0;8;5
ATH00010;DM;25-35; 16.99 ;592.17;323.4431792;993.45;183.34;1;0-3000;0;2026.17;4510.45;0.55;0;8;8
ATH00011;DM;25-35; 14.99 ;1738.47;373.1233618;592.25;626.11;1;6000-9000;0;2939.26;3724.86;0.19;0;8;8
ATH00012;DM;25-35; 10.99 ;296.50;470.505369;799.89;79.80;1;6000-9000;0;1678.30;3686.83;0.63;1;8;8
ATH00013;DM;25-35; 10.99 ;1729.77;35.51960214;901.77;799.95;1;3000-6000;1;2867.99;6119.66;0.31;0;10;10
ATH00014;DM;25-35; 12.99 ;1706.07;1393.18592;351.20;255.86;1;0-3000;0;3743.84;9021.42;0.83;1;6;6
ATH00015;DM;35-55; 10.99 ;562.91;140.9936389;1186.34;207.89;1;6000-9000;1;2092.04;6134.87;0.69;1;7;7
